Model Id,Epochs,Time,Hidden Layer Neurons,Learning Rate,Batch Size,Test Size,Training Loss Min,Validation Loss Min,Training Accuracy Max,Validation Accuracy Max
cDgh,34,6.17,"[256, 128, 64, 16]",0.007,256,0.2,0.2116,0.3607,0.9157,0.8725
5ve1,30,5.46,"[256, 128, 64, 16]",0.007,256,0.2,0.224,0.3996,0.9118,0.8758
rg1C,39,12.16,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.1978,0.3645,0.924,0.8772
VROB,48,14.55,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.1835,0.3482,0.9303,0.8869
iDwf,25,15.11,"[512, 256, 128, 32]",0.003,64,0.2,0.209,0.3567,0.9169,0.8769
ppwY,34,21.46,"[512, 256, 128, 32]",0.003,64,0.2,0.1801,0.3472,0.9299,0.8782
wyY6,30,21.13,"[512, 256, 128, 32]",0.003,64,0.2,0.1959,0.369,0.9243,0.878
81KU,27,18.72,"[512, 256, 128, 32]",0.003,64,0.2,0.2075,0.3662,0.9177,0.8694
Aajh,41,28.03,"[512, 256, 128, 64, 32]",0.003,64,0.2,0.1669,0.3699,0.9351,0.8771
Tz9J,24,16.89,"[512, 256, 128, 64, 32]",0.003,64,0.2,0.2262,0.3733,0.9098,0.8694
aj1J,33,22.16,"[512, 256, 128, 64, 32]",0.003,64,0.2,0.1932,0.3503,0.9239,0.8775
rqYn,28,18.92,"[512, 256, 128, 64, 32]",0.003,64,0.2,0.2198,0.3616,0.9152,0.8715
oWdl,33,11.28,"[128, 128, 64]",0.003,64,0.2,0.2057,0.3654,0.9209,0.8791
3Zuu,33,11.47,"[128, 128, 64]",0.003,64,0.2,0.1939,0.381,0.9236,0.8698
Uicm,28,9.75,"[128, 128, 64]",0.003,64,0.2,0.2071,0.3739,0.9195,0.8695
j2Aa,27,9.21,"[128, 128, 64]",0.003,64,0.2,0.2249,0.3769,0.911,0.8658
ZQwG,33,12.62,"[128, 128, 128, 32]",0.003,64,0.2,0.1921,0.3584,0.9262,0.8794
pzbE,26,10.42,"[128, 128, 128, 32]",0.003,64,0.2,0.2246,0.3703,0.9138,0.87
G7r1,32,12.07,"[128, 128, 128, 32]",0.003,64,0.2,0.1976,0.3601,0.9206,0.8805
6XAm,34,12.8,"[128, 128, 128, 32]",0.003,64,0.2,0.19,0.3622,0.9255,0.8765
AQjX,33,21.23,"[512, 256, 128, 32]",0.001,64,0.2,0.1427,0.3387,0.9445,0.8926
FkXq,30,18.78,"[512, 256, 128, 32]",0.001,64,0.2,0.1675,0.352,0.9362,0.8822
xVk9,29,18.62,"[512, 256, 128, 32]",0.001,64,0.2,0.1603,0.3784,0.9371,0.8731
HuLF,36,21.52,"[512, 256, 128, 32]",0.001,64,0.2,0.1319,0.3637,0.9486,0.8825
IlOD,40,25.91,"[512, 256, 128, 64, 32]",0.001,64,0.2,0.1266,0.3387,0.9508,0.8889
Kl2m,36,23.23,"[512, 256, 128, 64, 32]",0.001,64,0.2,0.1414,0.3336,0.9446,0.8966
OMiz,23,15.05,"[512, 256, 128, 64, 32]",0.001,64,0.2,0.1961,0.3599,0.9219,0.8829
jiMV,29,19.51,"[512, 256, 128, 64, 32]",0.001,64,0.2,0.167,0.358,0.9355,0.8795
GDQw,50,16.46,"[128, 128, 64]",0.001,64,0.2,0.1723,0.3484,0.9323,0.8814
rAZk,45,14.5,"[128, 128, 64]",0.001,64,0.2,0.1866,0.3511,0.9266,0.8749
8BjR,39,12.84,"[128, 128, 64]",0.001,64,0.2,0.2009,0.3619,0.9197,0.8752
s70z,42,14.25,"[128, 128, 64]",0.001,64,0.2,0.1998,0.3549,0.9226,0.8809
3ME6,34,12.83,"[128, 128, 128, 32]",0.001,64,0.2,0.1948,0.3661,0.9238,0.876
9iU7,44,16.43,"[128, 128, 128, 32]",0.001,64,0.2,0.1557,0.3301,0.9393,0.8865
z4rr,43,16.16,"[128, 128, 128, 32]",0.001,64,0.2,0.1571,0.3626,0.9402,0.8786
BXBl,33,12.5,"[128, 128, 128, 32]",0.001,64,0.2,0.1949,0.3434,0.9234,0.8825
Az5o,29,17.29,"[512, 256, 128, 32]",0.007,64,0.2,0.3314,0.4148,0.8763,0.8525
Ba92,26,15.48,"[512, 256, 128, 32]",0.007,64,0.2,0.3261,0.4611,0.8755,0.84
DRdJ,45,28.82,"[512, 256, 128, 32]",0.007,64,0.2,0.2897,0.4179,0.8929,0.8502
4pj7,43,26.87,"[512, 256, 128, 32]",0.007,64,0.2,0.2993,0.4308,0.8878,0.8506
2HIA,33,20.97,"[512, 256, 128, 64, 32]",0.007,64,0.2,0.3312,0.4579,0.8727,0.8425
ehU8,30,18.74,"[512, 256, 128, 64, 32]",0.007,64,0.2,0.3544,0.4401,0.8662,0.8457
K3sa,36,22.16,"[512, 256, 128, 64, 32]",0.007,64,0.2,0.3464,0.4273,0.8693,0.8423
yS3Y,39,23.63,"[512, 256, 128, 64, 32]",0.007,64,0.2,0.3325,0.4358,0.8754,0.8482
9SIF,42,14.14,"[128, 128, 64]",0.007,64,0.2,0.262,0.4077,0.8987,0.8626
N3Md,30,10.25,"[128, 128, 64]",0.007,64,0.2,0.2875,0.4025,0.887,0.8565
FjGt,19,6.72,"[128, 128, 64]",0.007,64,0.2,0.3395,0.4145,0.8659,0.8386
5H6d,38,12.51,"[128, 128, 64]",0.007,64,0.2,0.2822,0.4086,0.891,0.8609
wJRB,40,15.56,"[128, 128, 128, 32]",0.007,64,0.2,0.2838,0.3983,0.8902,0.8655
gwmD,31,12.08,"[128, 128, 128, 32]",0.007,64,0.2,0.3094,0.3941,0.8809,0.8578
B134,31,11.76,"[128, 128, 128, 32]",0.007,64,0.2,0.2989,0.4163,0.8833,0.8489
vmpT,39,14.33,"[128, 128, 128, 32]",0.007,64,0.2,0.2683,0.3798,0.8956,0.8683
JJR9,38,15.25,"[512, 256, 128, 32]",0.003,128,0.2,0.1542,0.3577,0.9407,0.8837
ZIK3,36,14.32,"[512, 256, 128, 32]",0.003,128,0.2,0.1543,0.3575,0.9398,0.8822
7iVr,29,11.24,"[512, 256, 128, 32]",0.003,128,0.2,0.1881,0.3348,0.9265,0.8803
RmH6,31,12.6,"[512, 256, 128, 32]",0.003,128,0.2,0.1717,0.3565,0.933,0.8794
JHYu,36,14.74,"[512, 256, 128, 64, 32]",0.003,128,0.2,0.1697,0.333,0.9343,0.8911
vTDe,34,13.81,"[512, 256, 128, 64, 32]",0.003,128,0.2,0.1641,0.39,0.9353,0.8774
KQmG,33,13.96,"[512, 256, 128, 64, 32]",0.003,128,0.2,0.1778,0.3734,0.9317,0.8818
8kUI,30,12.77,"[512, 256, 128, 64, 32]",0.003,128,0.2,0.1867,0.3739,0.9284,0.8797
