Model Id,Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
YYSj,0,0.7775853872299194,0.6608286499977112,0.6755384802818298,0.7099999785423279
YYSj,1,0.6259628534317017,0.6117520928382874,0.7385769486427307,0.739230751991272
YYSj,2,0.5808809995651245,0.5641960501670837,0.7575384378433228,0.758307695388794
YYSj,3,0.554373025894165,0.5342015027999878,0.7691538333892822,0.777999997138977
YYSj,4,0.5267630219459534,0.5441896915435791,0.7851153612136841,0.772615373134613
YYSj,5,0.5068718194961548,0.5153055787086487,0.7928845882415771,0.7893846035003662
YYSj,6,0.49081531167030334,0.5045733451843262,0.8014615178108215,0.7901538610458374
YYSj,7,0.479649156332016,0.5062662959098816,0.8036922812461853,0.791692316532135
YYSj,8,0.4649420380592346,0.4805731773376465,0.811923086643219,0.7984615564346313
YYSj,9,0.4575779438018799,0.5357508659362793,0.8161923289299011,0.7852307558059692
YYSj,10,0.44934725761413574,0.48239773511886597,0.8165768980979919,0.8129230737686157
YYSj,11,0.4430517256259918,0.46519753336906433,0.8231154084205627,0.8147692084312439
YYSj,12,0.4472928047180176,0.460051029920578,0.8246923089027405,0.8206154108047485
YYSj,13,0.42296066880226135,0.4774419069290161,0.829807698726654,0.808923065662384
YYSj,14,0.42639458179473877,0.46886691451072693,0.8298461437225342,0.8096923232078552
YYSj,15,0.41185566782951355,0.4613358974456787,0.8341923356056213,0.8126153945922852
YYSj,16,0.4107784032821655,0.4874492883682251,0.8346154093742371,0.8144615292549133
YYSj,17,0.4059200584888458,0.4823443591594696,0.8402307629585266,0.8073846101760864
YYSj,18,0.40287137031555176,0.4720258116722107,0.8390769362449646,0.8170769214630127
YYSj,19,0.39579319953918457,0.462100625038147,0.8391153812408447,0.8199999928474426
YYSj,20,0.4005468785762787,0.46525782346725464,0.8414999842643738,0.8164615631103516
YYSj,21,0.3893292248249054,0.46637654304504395,0.8450384736061096,0.8244615197181702
YYSj,22,0.38278669118881226,0.4580734968185425,0.8477307558059692,0.8266153931617737
YYSj,23,0.3881547749042511,0.4593891203403473,0.8443077206611633,0.8253846168518066
YYSj,24,0.38443756103515625,0.44109469652175903,0.8478077054023743,0.8250769376754761
YYSj,25,0.3787948489189148,0.45033133029937744,0.8471153974533081,0.8203076720237732
YYSj,26,0.37792882323265076,0.47513359785079956,0.8492307662963867,0.8059999942779541
YYSj,27,0.3832632601261139,0.5025637149810791,0.8483076691627502,0.8124615550041199
YYSj,28,0.3701200783252716,0.4728214740753174,0.8529999852180481,0.8166154026985168
YYSj,29,0.3693794012069702,0.4415022134780884,0.8530769348144531,0.8326153755187988
YYSj,30,0.36162763833999634,0.44428396224975586,0.8566538691520691,0.834461510181427
YYSj,31,0.3599810004234314,0.45458492636680603,0.8571538329124451,0.8312307596206665
YYSj,32,0.36320459842681885,0.4514490067958832,0.8539615273475647,0.8290769457817078
YYSj,33,0.36142855882644653,0.46239787340164185,0.8565769195556641,0.8244615197181702
YYSj,34,0.35554131865501404,0.4669813811779022,0.859499990940094,0.8215384483337402
HEXn,0,0.7583425641059875,0.6491405367851257,0.6826538443565369,0.7207692265510559
HEXn,1,0.6021003127098083,0.6019929051399231,0.7452307939529419,0.7504615187644958
HEXn,2,0.564369797706604,0.5597178936004639,0.7661153674125671,0.7723076939582825
HEXn,3,0.5242820978164673,0.5390720963478088,0.7808846235275269,0.7773846387863159
HEXn,4,0.5028097033500671,0.522362470626831,0.7952307462692261,0.7799999713897705
HEXn,5,0.47534868121147156,0.5157595276832581,0.8017692565917969,0.7816923260688782
HEXn,6,0.453779935836792,0.5014265179634094,0.8130384683609009,0.7975384593009949
HEXn,7,0.44191357493400574,0.4721512496471405,0.8204615116119385,0.8101538419723511
HEXn,8,0.4167994260787964,0.4752022624015808,0.8314999938011169,0.8163076639175415
HEXn,9,0.41216912865638733,0.46310362219810486,0.8329230546951294,0.8119999766349792
HEXn,10,0.40060412883758545,0.4518445134162903,0.8388845920562744,0.8210769295692444
HEXn,11,0.3883478045463562,0.4543200433254242,0.8443461656570435,0.8255384564399719
HEXn,12,0.38542917370796204,0.42736831307411194,0.8465384840965271,0.8281538486480713
HEXn,13,0.37084758281707764,0.447830468416214,0.8513076901435852,0.8313845992088318
HEXn,14,0.3682231307029724,0.44041889905929565,0.8550384640693665,0.8370769023895264
HEXn,15,0.35079947113990784,0.42428913712501526,0.8618077039718628,0.8438461422920227
HEXn,16,0.34585145115852356,0.42258232831954956,0.8621153831481934,0.8406153917312622
HEXn,17,0.3329033851623535,0.44796574115753174,0.8687692284584045,0.8310769200325012
HEXn,18,0.3274006247520447,0.4072967767715454,0.8678461313247681,0.8498461246490479
HEXn,19,0.32150062918663025,0.4475562274456024,0.8729230761528015,0.8455384373664856
HEXn,20,0.32654327154159546,0.45823150873184204,0.8730384707450867,0.8432307839393616
HEXn,21,0.33376544713974,0.4334416389465332,0.8717692494392395,0.8472307920455933
HEXn,22,0.3322307765483856,0.41876062750816345,0.8738846182823181,0.8478461503982544
HEXn,23,0.2994373142719269,0.4534244239330292,0.8828076720237732,0.8460000157356262
HEXn,24,0.3187406063079834,0.43390652537345886,0.8780384659767151,0.8409230709075928
HEXn,25,0.2998889088630676,0.4269406497478485,0.8823077082633972,0.847076952457428
HEXn,26,0.2846972346305847,0.4338022768497467,0.8877692222595215,0.8538461327552795
HEXn,27,0.2801060080528259,0.42181190848350525,0.8909615278244019,0.8507692217826843
HEXn,28,0.27845680713653564,0.4166490435600281,0.8902692198753357,0.8572307825088501
TEQl,0,0.7720340490341187,0.6596439480781555,0.6745769381523132,0.7196922898292542
TEQl,1,0.6151683926582336,0.6022859215736389,0.7415769100189209,0.7490769028663635
